Distance_(pixels),Gray_Value
747,52.3889
748,53.8291
749,54.5800
750,55.2054
751,55.7121
752,55.7660
753,55.2416
754,54.5623
755,53.9714
756,54.1153
757,54.6869
758,55.3939
759,55.5648
760,54.2576
761,53.4251
762,52.4933
763,51.3418
764,50.4066
765,49.3906
766,48.2441
767,47.3123
768,45.7912
769,44.7332
770,44.1515
771,43.3552
772,41.9310
773,39.8342
774,38.1928
775,37.4764
776,37.1591
777,36.6700
778,35.9865
779,34.8451
780,33.7382
781,33.0497
782,32.8872
783,32.7955
784,32.0429
785,31.4992
786,30.9428
787,30.0800
788,29.3047
789,28.6094
790,28.1473
791,27.7946
792,27.0278
793,26.5783
794,26.4015
795,26.4108
796,26.2559
797,25.7424
798,25.3426
799,25.0463
800,24.8266
801,24.3140
802,23.8662
803,23.3628
804,23.2727
805,23.3064
806,23.4512
807,23.5295
808,23.9167
809,23.9949
810,24.3939
811,24.5968
812,24.9571
813,25.0253
814,25.1187
815,25.2239
816,25.9983
817,26.7609
818,27.6540
819,28.0370
820,28.5421
821,28.9520
822,29.1481
823,29.1019
824,29.9335
825,31.0547
826,32.6414
827,34.1726
828,36.3367
829,38.4806
830,40.0985
831,40.7879
832,42.0311
833,42.7205
834,43.7138
835,44.1785
836,44.2626
837,44.4125
838,45.2778
839,46.2862
840,47.7189
841,48.0269
842,48.2247
843,48.2062
844,48.7870
845,50.0135
846,51.5539
847,52.5244
848,53.4966
849,53.1195
850,52.6835
851,51.9099
852,51.1726
853,50.6010
854,49.9975
855,49.3594
856,49.0076
857,48.4125
858,47.9175
859,47.5000
860,47.1650
861,46.3864
862,45.5008
863,44.6077
864,43.4116
865,42.2753
866,41.1970
867,40.1389
868,39.5926
869,38.7559
870,37.6574
871,36.5051
872,34.5943
873,33.3510
874,32.0640
875,30.7963
876,30.0034
877,29.4554
878,29.2997
879,29.1675
880,28.9975
881,28.5463
882,27.8300
883,26.8215
884,26.1364
885,25.6591
886,25.3375
887,24.9848
888,24.6481
889,24.4133
890,24.2668
891,23.9731
892,23.7694
893,23.5446
894,23.4099
895,23.3939
896,23.6911
897,23.6128
898,23.6111
899,23.4453
900,23.4251
901,23.2332
902,23.2837
903,23.2416
904,23.1120
905,23.1852
906,23.5362
907,23.9066
908,24.3577
909,24.5909
910,24.8864
911,24.9916
912,25.0168
913,24.9823
914,25.0985
915,25.0934
916,25.3316
917,25.8384
918,26.5160
919,26.9579
920,27.9040
921,28.0396
922,28.2214
923,28.2374
924,28.4739
925,28.8485
926,29.6271
927,30.4024
928,31.3737
929,31.7424
930,32.6987
931,33.5320
932,33.8628
933,33.7197
934,33.9815
935,34.4049
936,34.9747
937,35.3973
938,36.0438
939,36.4032
940,36.8140
941,37.2357
942,37.6027
943,37.5665
944,36.5783
945,35.7567
946,35.5362
947,35.8577
948,36.3401
949,36.3788
950,35.9184
951,35.3232
952,34.3763
953,33.8140
954,33.5892
955,33.3948
956,33.0396
957,32.3426
958,31.6448
959,31.1136
960,31.0791
961,30.8072
962,30.6919
963,30.3451
964,29.8914
965,29.2407
966,28.5076
967,27.7912
968,26.4958
969,25.6355
970,24.8342
971,24.1557
972,23.5850
973,22.9924
974,22.7264
975,22.4916
976,21.8636
977,21.3266
978,21.0471
979,20.8535
980,20.4621
981,19.8258
982,19.4579
983,19.3889
984,19.0530
985,18.9049
986,18.7929
987,18.6330
988,18.4899
989,18.3005
990,18.3300
991,18.3569
992,18.6675
993,18.7441
994,19.0143
995,19.1557
996,19.4705
997,19.7685
998,20.2845
999,20.6465
1000,20.6086
1001,20.7214
1002,21.0210
1003,21.2988
1004,21.6944
1005,21.9116
1006,22.3308
1007,22.4571
1008,22.1397
1009,21.9562
1010,21.9276
1011,22.0455
1012,22.4630
1013,22.8897
1014,23.3056
1015,23.3822
1016,23.9916
1017,24.1263
1018,24.5202
1019,24.9209
1020,25.2146
1021,25.1776
1022,25.1439
1023,25.0867
1024,24.9335
1025,25.0505
1026,25.3754
1027,25.3300
1028,25.1448
1029,24.9242
1030,25.0884
1031,25.3981
1032,25.8207
1033,25.4503
1034,25.2399
1035,25.0589
1036,25.2618
1037,25.3746
1038,25.5194
1039,25.5488
1040,25.8426
1041,25.6625
1042,25.4655
1043,25.1978
1044,25.0539
1045,24.9983
1046,24.9335
1047,24.7315
1048,23.9781
1049,23.9360
1050,23.8359
1051,23.5370
1052,23.4773
1053,23.4529
1054,23.4739
1055,23.3519
1056,22.9992
1057,22.6944
1058,22.3485
1059,21.7559
1060,21.3779
1061,21.1532
1062,21.2315
1063,21.3241
1064,21.2391
1065,21.1667
1066,20.9554
1067,20.4133
1068,19.7247
1069,19.0960
1070,18.6768
1071,18.3207
1072,17.8678
1073,17.4554
1074,16.9689
1075,16.3300
1076,15.7037
1077,15.2744
1078,15.0985
1079,15.0354
1080,14.4975
1081,14.3418
1082,14.3485
1083,14.4916
1084,14.4857
1085,14.3098
1086,13.9907
1087,13.7130
1088,13.3114
1089,12.7163
1090,12.0884
1091,11.6002
1092,11.4074
1093,11.4663
1094,11.5707
1095,11.6894
1096,10.9680
1097,10.4983
1098,9.9882
1099,9.5657
1100,9.3678
1101,9.2963
1102,9.2660
1103,9.1549
1104,8.6591
1105,8.3914
1106,8.0690
1107,7.7138
1108,7.4537
1109,7.1355
1110,6.8519
1111,6.7104
1112,6.1288
1113,6.1271
1114,6.1347
1115,6.0345
1116,5.9217
1117,5.6936
1118,5.4318
1119,5.3460
1120,5.0118
1121,4.9057
1122,4.8140
1123,4.6692
1124,4.6120
1125,4.5758
1126,4.3569
1127,4.3342
1128,4.0816
1129,4.0631
1130,3.9747
1131,3.8519
1132,3.7567
1133,3.6557
1134,3.5253
1135,3.5202
1136,3.4739
1137,3.4554
1138,3.4436
1139,3.4301
1140,3.4487
1141,3.4444
